,City,Country,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
432,Charcas,MX,87,25,23.13,-101.12,82.4,4.03
433,Kudeyevskiy,RU,75,72,54.88,56.76,64.4,6.71
434,Smolenka,RU,40,86,52.14,113.5,41.0,2.24
435,Yenagoa,NG,95,92,4.92,6.26,75.38,3.91
436,Hervey Bay,AU,66,96,-25.3,152.85,61.0,11.01
437,Fort Nelson,CA,40,62,58.81,-122.7,57.2,8.05
438,Périgueux,FR,0,75,45.18,0.72,54.0,4.79
439,Paamiut,GL,100,89,61.99,-49.67,42.33,13.69
440,Bilma,NE,0,12,18.69,12.92,92.66,7.05
441,Yantzaza,EC,75,35,-3.83,-78.76,86.0,18.34
442,Ancud,CL,90,93,-41.87,-73.82,51.01,8.05
443,Beyneu,KZ,0,20,45.32,55.2,79.74,9.17
444,Mirebalais,HT,75,66,18.83,-72.11,87.8,11.41
445,Flinders,AU,100,94,-34.58,150.86,55.0,1.99
446,Wairoa,NZ,0,70,-39.03,177.37,50.0,8.01
447,Sanguéya,GN,100,87,10.7,-14.37,76.82,3.49
448,Vilyuysk,RU,100,74,63.76,121.62,53.6,10.04
449,Nanyang,CN,100,84,32.99,112.53,71.47,3.29
450,Matara,LK,100,88,5.95,80.54,79.63,9.51
451,Morondava,MG,0,71,-20.28,44.28,70.3,5.12
452,Praia,CV,20,74,14.92,-23.51,78.8,4.7
453,Awjilah,LY,21,29,29.11,21.29,85.86,15.12
454,Codrington,AU,49,92,-38.27,141.97,38.95,9.08
455,Qasigiannguit,GL,75,74,68.82,-51.19,37.4,3.36
456,Beloha,MG,0,83,-25.17,45.05,63.39,10.22
457,Kajaani,FI,26,58,64.23,27.73,55.4,9.17
458,Cherskiy,RU,21,36,68.75,161.3,70.56,14.12
459,Valparaíso,CL,2,71,-33.04,-71.63,62.6,17.22
460,Karak,JO,6,55,31.17,35.75,64.4,5.82
461,Aasiaat,GL,94,89,68.71,-52.87,35.53,7.25
462,Bollnäs,SE,25,98,61.35,16.39,51.01,5.99
463,Oskemen,KZ,2,81,49.96,82.61,50.0,2.24
464,Port-Gentil,GA,40,83,-0.72,8.78,78.8,6.93
465,Arrondissement d'Ajaccio,FR,75,88,42.0,8.92,62.6,4.7
466,Manaus,BR,40,62,-3.1,-60.02,89.6,2.24
467,Talnakh,RU,75,81,69.49,88.4,42.8,11.18
468,Tura,IN,0,74,25.52,90.22,77.49,2.53
469,College,US,40,45,64.86,-147.8,73.0,6.93
470,Zwiesel,DE,100,94,49.02,13.23,54.0,1.01
471,Henties Bay,NA,0,91,-22.12,14.28,59.0,1.72
472,Hirara,JP,75,94,24.8,125.28,71.6,3.36
473,Krasnyy Kommunar,RU,40,67,51.96,55.37,62.6,4.47
474,Olafsvik,IS,90,85,64.89,-23.71,44.02,7.29
475,Vestmannaeyjar,IS,74,78,63.44,-20.27,48.6,16.53
476,Sonāri,IN,4,90,27.07,95.03,76.82,2.19
477,Zhezkazgan,KZ,27,42,47.8,67.71,66.58,9.55
478,Terrace Bay,CA,75,68,48.78,-87.1,69.8,10.29
479,Olinda,BR,40,83,-8.01,-34.86,78.8,6.93
480,Guerrero Negro,MX,0,15,27.98,-114.06,88.93,16.6
481,Syamzha,RU,71,96,60.02,41.06,60.73,5.01
482,Atbasar,KZ,47,67,51.8,68.33,64.02,6.6
483,Eagle Pass,US,5,40,28.71,-100.5,104.0,9.17
484,Ostrovnoy,RU,100,87,68.05,39.51,42.08,14.2
485,Amahai,ID,98,97,-3.33,128.92,80.01,3.44
486,Guarujá,BR,59,88,-23.99,-46.26,78.01,3.36
487,Brownwood,US,1,9,31.71,-98.99,93.2,16.11
488,Tegul'det,RU,44,96,57.31,88.17,37.94,4.38
489,Quryq,KZ,0,21,43.2,51.65,80.53,10.49
490,Province of Mantua,IT,100,83,45.17,10.78,62.01,5.99
491,Yura,PE,0,33,-16.25,-71.68,60.71,5.35
492,Niquero,CU,100,72,20.04,-77.58,85.05,3.91
493,Siloam Springs,US,40,62,36.19,-94.54,89.6,17.22
494,Alyangula,AU,99,94,-13.85,136.42,73.4,2.24
495,Ulety,RU,74,72,51.36,112.48,50.04,2.77
496,Makambako,TZ,1,86,-8.85,34.82,54.5,10.07
497,Aksha,RU,100,79,50.28,113.29,51.21,3.29
498,Calvinia,ZA,0,87,-31.47,19.78,47.75,4.72
499,Nemuro,JP,93,87,43.32,145.57,52.72,7.63
500,Brigantine,US,1,42,39.41,-74.36,80.6,13.87
501,Itoman,JP,75,94,26.12,127.67,77.0,8.05
502,Karratha,AU,0,53,-20.74,116.85,68.86,7.92
503,Liberal,US,90,58,37.04,-100.92,59.0,44.96
504,Mankono,CI,96,91,8.06,-6.19,73.15,13.94
505,Bereda,ES,85,84,43.27,-7.54,53.01,1.99
506,Paso de Carrasco,UY,75,93,-34.86,-56.05,53.6,4.7
507,Monroe,US,40,35,43.15,-77.68,87.8,3.36
508,Port Lincoln,AU,0,52,-34.73,135.87,49.41,5.32
509,Baoning,CN,75,94,25.34,110.03,75.2,1.77
510,Arrondissement de Saint-Denis,FR,44,67,48.92,2.33,59.0,3.36
511,Hofn,IS,55,76,64.25,-15.21,48.13,4.74
512,Ukiah,US,1,26,39.15,-123.21,84.99,4.7
513,Pālkonda,IN,96,80,18.6,83.75,81.18,3.87
514,Kieta,PG,95,70,-6.22,155.63,83.37,1.16
515,Bucerías,MX,5,69,20.75,-105.33,82.4,17.22
516,Vallenar,CL,67,40,-28.57,-70.76,62.65,4.5
517,Naze,JP,75,94,28.37,129.48,77.0,14.99
518,Nicoya,CR,75,66,10.15,-85.45,89.6,9.17
519,Mokhsogollokh,RU,74,90,61.47,128.92,51.04,6.44
520,Angul,IN,18,73,20.85,85.1,83.57,2.59
521,Koungou,YT,21,69,-12.73,45.2,77.0,6.93
522,Chapais,CA,1,22,49.78,-74.85,64.4,8.05
523,Sur,OM,0,72,22.57,59.53,85.12,8.66
524,Maceió,BR,75,94,-9.67,-35.74,75.2,3.36
525,Quatre Cocos,MU,75,83,-20.21,57.76,69.8,14.99
526,Kodīnar,IN,16,79,20.79,70.7,84.83,8.34
527,Nālūt,LY,74,32,30.33,10.85,80.19,16.31
528,Farafangana,MG,17,84,-22.82,47.83,66.67,5.06
529,Soyo,AO,27,90,-6.13,12.37,74.91,7.67
530,Mehamn,NO,79,68,71.04,27.85,41.65,16.35
531,Adrar,MR,0,31,20.5,-10.07,93.52,7.2
532,Aberdeen,GB,100,87,57.14,-2.1,52.0,5.82
533,Lakes Entrance,AU,100,69,-37.88,147.98,45.7,4.03
