,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Kiryat Gat,26,IL,1591740688,81,31.61,34.76,71.01,2.1
375,Salalah,75,OM,1591740689,94,17.02,54.09,84.2,8.05
376,Chute-aux-Outardes,20,CA,1591740691,33,49.12,-68.4,59.0,8.05
377,São Gonçalo do Sapucaí,22,BR,1591740692,84,-21.89,-45.6,64.17,1.25
378,Tromsø,40,NO,1591740685,72,69.65,18.96,44.6,6.93
379,General Roca,48,AR,1591740694,26,-39.03,-67.58,57.2,13.87
380,Dubna,73,RU,1591740534,95,56.73,37.17,63.16,5.23
381,San Quintín,0,MX,1591740696,32,30.48,-115.95,77.59,11.5
382,Bharatpur,12,IN,1591740697,22,27.22,77.48,94.77,5.37
383,Jinxiang,100,CN,1591740698,90,22.86,115.7,79.9,5.73
384,Port-Cartier,75,CA,1591740699,40,50.03,-66.87,53.6,10.29
385,Bronkhorstspruit,0,ZA,1591740701,65,-25.81,28.74,48.99,1.12
386,Praia da Vitória,40,PT,1591740702,77,38.73,-27.07,66.2,6.29
387,Sistranda,0,NO,1591740703,76,63.73,8.83,51.8,4.7
388,Teknāf,92,BD,1591740704,85,20.86,92.31,81.27,12.88
389,Zvishavane,0,ZW,1591740705,89,-20.33,30.07,52.72,2.13
390,Lorengau,80,PG,1591740706,77,-2.02,147.27,83.61,7.94
391,Zhangjiakou Shi Xuanhua Qu,75,CN,1591740707,66,40.61,115.04,64.83,1.28
392,Rosetta,53,EG,1591740709,69,31.4,30.42,73.4,2.24
393,Kaeo,7,NZ,1591740710,3,-35.1,173.78,55.99,3.0
394,Gizo Government Station,100,SB,1591740711,70,-8.1,156.84,84.25,6.17
395,Saint Anthony,90,US,1591740427,88,45.02,-93.22,75.99,4.7
396,Dekar,0,BW,1591740713,37,-21.53,21.93,57.11,6.26
397,Russell,20,US,1591740714,62,32.35,-85.2,86.0,9.17
398,Gao,47,ML,1591740715,15,16.64,1.64,101.17,9.53
399,Carman,90,CA,1591740716,67,49.5,-98.0,61.0,12.75
400,Nampula,2,MZ,1591740718,99,-15.12,39.27,60.91,1.45
401,Manakara,11,MG,1591740719,86,-22.13,48.02,65.52,3.4
402,Winnemucca,1,US,1591740720,15,40.97,-117.74,78.8,8.05
403,Dover,1,US,1591740721,48,39.16,-75.52,88.0,8.05
404,Constitución,0,CL,1591740722,71,-35.33,-72.42,50.94,4.85
405,Munxar,7,MT,1591740723,68,36.03,14.23,69.01,11.41
406,Deputatsky,100,RU,1591740724,79,69.3,139.9,37.42,5.17
407,Mórrope,97,PE,1591740725,56,-6.54,-80.01,73.4,18.34
408,Pringsewu,14,ID,1591740727,93,-5.36,104.97,72.59,1.5
409,Novy Urengoy,62,RU,1591740728,69,66.08,76.63,54.18,7.87
410,Umluj,0,SA,1591740729,38,25.02,37.27,86.83,8.59
411,Porto-Novo,40,BJ,1591740730,83,6.5,2.6,80.6,4.7
412,Pak Phanang,100,TH,1591740731,82,8.35,100.2,80.62,2.42
413,Kupang,20,ID,1591740732,78,-10.17,123.58,77.0,10.29
414,Acarí,14,PE,1591740733,59,-15.43,-74.62,68.99,5.59
415,Weligama,100,LK,1591740735,87,5.97,80.42,79.99,9.71
416,Morbegno,100,IT,1591740736,85,46.14,9.57,48.99,1.99
417,Abhā,40,SA,1591740533,43,18.22,42.51,73.4,8.86
418,Riyadh,43,SA,1591740478,14,24.69,46.72,95.0,6.93
419,Caceres,99,ES,1591740739,56,39.52,-6.37,66.0,7.7
420,Mulchén,75,CL,1591740740,81,-37.72,-72.23,50.0,4.7
421,Sakakah,0,SA,1591740741,11,29.97,40.21,89.6,3.36
422,Carutapera,51,BR,1591740743,86,-1.2,-46.02,77.38,4.76
423,Iaçu,45,BR,1591740656,81,-12.77,-40.21,73.42,3.96
424,Mumford,89,GH,1591740745,87,5.26,-0.76,78.71,11.61
425,Lewiston,75,US,1591740559,52,44.1,-70.21,71.01,6.93
426,Klyuchi,21,RU,1591740747,76,52.27,79.17,55.89,6.13
427,Malibu,0,US,1591740748,24,34.01,-118.81,93.0,4.0
428,Pavino,0,RU,1591740749,88,59.11,46.14,57.78,1.95
429,Thohoyandou,0,ZA,1591740750,64,-22.95,30.48,55.96,1.74
430,Yanam,100,IN,1591740752,84,16.73,82.22,80.91,1.95
431,Kloulklubed,90,PW,1591740753,100,7.04,134.26,75.2,6.33
432,Charcas,87,MX,1591740754,25,23.13,-101.12,82.4,4.03
433,Kudeyevskiy,75,RU,1591740755,72,54.88,56.76,64.4,6.71
434,Smolenka,40,RU,1591740756,86,52.14,113.5,41.0,2.24
435,Yenagoa,95,NG,1591740757,92,4.92,6.26,75.38,3.91
436,Hervey Bay,66,AU,1591740758,96,-25.3,152.85,61.0,11.01
437,Fort Nelson,40,CA,1591740759,62,58.81,-122.7,57.2,8.05
438,Périgueux,0,FR,1591740761,75,45.18,0.72,54.0,4.79
439,Paamiut,100,GL,1591740762,89,61.99,-49.67,42.33,13.69
440,Bilma,0,NE,1591740763,12,18.69,12.92,92.66,7.05
441,Yantzaza,75,EC,1591740764,35,-3.83,-78.76,86.0,18.34
442,Ancud,90,CL,1591740765,93,-41.87,-73.82,51.01,8.05
443,Beyneu,0,KZ,1591740766,20,45.32,55.2,79.74,9.17
444,Mirebalais,75,HT,1591740767,66,18.83,-72.11,87.8,11.41
445,Flinders,100,AU,1591740768,94,-34.58,150.86,55.0,1.99
446,Wairoa,0,NZ,1591740769,70,-39.03,177.37,50.0,8.01
447,Sanguéya,100,GN,1591740771,87,10.7,-14.37,76.82,3.49
448,Vilyuysk,100,RU,1591740772,74,63.76,121.62,53.6,10.04
449,Nanyang,100,CN,1591740608,84,32.99,112.53,71.47,3.29
450,Matara,100,LK,1591740774,88,5.95,80.54,79.63,9.51
451,Morondava,0,MG,1591740775,71,-20.28,44.28,70.3,5.12
452,Praia,20,CV,1591740516,74,14.92,-23.51,78.8,4.7
453,Awjilah,21,LY,1591740777,29,29.11,21.29,85.86,15.12
454,Codrington,49,AU,1591740778,92,-38.27,141.97,38.95,9.08
455,Qasigiannguit,75,GL,1591740780,74,68.82,-51.19,37.4,3.36
456,Beloha,0,MG,1591740781,83,-25.17,45.05,63.39,10.22
457,Kajaani,26,FI,1591740782,58,64.23,27.73,55.4,9.17
458,Cherskiy,21,RU,1591740783,36,68.75,161.3,70.56,14.12
459,Valparaíso,2,CL,1591740784,71,-33.04,-71.63,62.6,17.22
460,Karak,6,JO,1591740785,55,31.17,35.75,64.4,5.82
461,Aasiaat,94,GL,1591740786,89,68.71,-52.87,35.53,7.25
462,Bollnäs,25,SE,1591740787,98,61.35,16.39,51.01,5.99
463,Oskemen,2,KZ,1591740788,81,49.96,82.61,50.0,2.24
464,Port-Gentil,40,GA,1591740790,83,-0.72,8.78,78.8,6.93
465,Arrondissement d'Ajaccio,75,FR,1591740791,88,42.0,8.92,62.6,4.7
466,Manaus,40,BR,1591740792,62,-3.1,-60.02,89.6,2.24
467,Talnakh,75,RU,1591740793,81,69.49,88.4,42.8,11.18
468,Tura,0,IN,1591740794,74,25.52,90.22,77.49,2.53
469,College,40,US,1591740795,45,64.86,-147.8,73.0,6.93
470,Zwiesel,100,DE,1591740796,94,49.02,13.23,54.0,1.01
471,Henties Bay,0,NA,1591740797,91,-22.12,14.28,59.0,1.72
472,Hirara,75,JP,1591740798,94,24.8,125.28,71.6,3.36
473,Krasnyy Kommunar,40,RU,1591740800,67,51.96,55.37,62.6,4.47
474,Olafsvik,90,IS,1591740801,85,64.89,-23.71,44.02,7.29
475,Vestmannaeyjar,74,IS,1591740802,78,63.44,-20.27,48.6,16.53
476,Sonāri,4,IN,1591740803,90,27.07,95.03,76.82,2.19
477,Zhezkazgan,27,KZ,1591740804,42,47.8,67.71,66.58,9.55
478,Terrace Bay,75,CA,1591740805,68,48.78,-87.1,69.8,10.29
479,Olinda,40,BR,1591740519,83,-8.01,-34.86,78.8,6.93
480,Guerrero Negro,0,MX,1591740807,15,27.98,-114.06,88.93,16.6
481,Syamzha,71,RU,1591740809,96,60.02,41.06,60.73,5.01
482,Atbasar,47,KZ,1591740810,67,51.8,68.33,64.02,6.6
483,Eagle Pass,5,US,1591740811,40,28.71,-100.5,104.0,9.17
484,Ostrovnoy,100,RU,1591740812,87,68.05,39.51,42.08,14.2
485,Amahai,98,ID,1591740813,97,-3.33,128.92,80.01,3.44
486,Guarujá,59,BR,1591740815,88,-23.99,-46.26,78.01,3.36
487,Brownwood,1,US,1591740816,9,31.71,-98.99,93.2,16.11
488,Tegul'det,44,RU,1591740817,96,57.31,88.17,37.94,4.38
489,Quryq,0,KZ,1591740818,21,43.2,51.65,80.53,10.49
490,Province of Mantua,100,IT,1591740819,83,45.17,10.78,62.01,5.99
491,Yura,0,PE,1591740820,33,-16.25,-71.68,60.71,5.35
492,Niquero,100,CU,1591740821,72,20.04,-77.58,85.05,3.91
493,Siloam Springs,40,US,1591740823,62,36.19,-94.54,89.6,17.22
494,Alyangula,99,AU,1591740824,94,-13.85,136.42,73.4,2.24
495,Ulety,74,RU,1591740825,72,51.36,112.48,50.04,2.77
496,Makambako,1,TZ,1591740827,86,-8.85,34.82,54.5,10.07
497,Aksha,100,RU,1591740828,79,50.28,113.29,51.21,3.29
498,Calvinia,0,ZA,1591740829,87,-31.47,19.78,47.75,4.72
499,Nemuro,93,JP,1591740830,87,43.32,145.57,52.72,7.63
500,Brigantine,1,US,1591740760,42,39.41,-74.36,80.6,13.87
501,Itoman,75,JP,1591740832,94,26.12,127.67,77.0,8.05
502,Karratha,0,AU,1591740834,53,-20.74,116.85,68.86,7.92
503,Liberal,90,US,1591740765,58,37.04,-100.92,59.0,44.96
504,Mankono,96,CI,1591740836,91,8.06,-6.19,73.15,13.94
505,Bereda,85,ES,1591740838,84,43.27,-7.54,53.01,1.99
506,Paso de Carrasco,75,UY,1591740839,93,-34.86,-56.05,53.6,4.7
507,Monroe,40,US,1591740645,35,43.15,-77.68,87.8,3.36
508,Port Lincoln,0,AU,1591740841,52,-34.73,135.87,49.41,5.32
509,Baoning,75,CN,1591740842,94,25.34,110.03,75.2,1.77
510,Arrondissement de Saint-Denis,44,FR,1591740844,67,48.92,2.33,59.0,3.36
511,Hofn,55,IS,1591740845,76,64.25,-15.21,48.13,4.74
512,Ukiah,1,US,1591740846,26,39.15,-123.21,84.99,4.7
513,Pālkonda,96,IN,1591740847,80,18.6,83.75,81.18,3.87
514,Kieta,95,PG,1591740848,70,-6.22,155.63,83.37,1.16
515,Bucerías,5,MX,1591740849,69,20.75,-105.33,82.4,17.22
516,Vallenar,67,CL,1591740850,40,-28.57,-70.76,62.65,4.5
517,Naze,75,JP,1591740852,94,28.37,129.48,77.0,14.99
518,Nicoya,75,CR,1591740853,66,10.15,-85.45,89.6,9.17
519,Mokhsogollokh,74,RU,1591740854,90,61.47,128.92,51.04,6.44
520,Angul,18,IN,1591740784,73,20.85,85.1,83.57,2.59
521,Koungou,21,YT,1591740856,69,-12.73,45.2,77.0,6.93
522,Chapais,1,CA,1591740858,22,49.78,-74.85,64.4,8.05
523,Sur,0,OM,1591740755,72,22.57,59.53,85.12,8.66
524,Maceió,75,BR,1591740860,94,-9.67,-35.74,75.2,3.36
525,Quatre Cocos,75,MU,1591740861,83,-20.21,57.76,69.8,14.99
526,Kodīnar,16,IN,1591740862,79,20.79,70.7,84.83,8.34
527,Nālūt,74,LY,1591740863,32,30.33,10.85,80.19,16.31
528,Farafangana,17,MG,1591740865,84,-22.82,47.83,66.67,5.06
529,Soyo,27,AO,1591740866,90,-6.13,12.37,74.91,7.67
530,Mehamn,79,NO,1591740867,68,71.04,27.85,41.65,16.35
531,Adrar,0,MR,1591740868,31,20.5,-10.07,93.52,7.2
532,Aberdeen,100,GB,1591740869,87,57.14,-2.1,52.0,5.82
533,Lakes Entrance,100,AU,1591740870,69,-37.88,147.98,45.7,4.03
